fraud_YN,car_model,sharing_type,age_group,has_previous_accident,cumulative_use_count,b2b,accident_ratio,pf_type,socarpass,socarsave,start_hour,duration,accident_hour,repair_cost,insure_cost,accident_location,car_part1,car_part2,repair_cnt,acc_type1,insurance_site_aid_YN,police_site_aid_YN,total_prsn_cnt,test_set
0,2,0,4,0,4,0,100,1,1,1,5,1,6,0,0,0,1,0,1,1,1,1,0,0
0,4,1,5,0,1,0,100,2,0,0,5,4,5,237851.5985,0,0,0,1,1,0,0,0,-1,0
0,2,0,3,0,2,0,100,3,0,1,5,3,5,0,365500,4,0,1,1,1,1,1,0,1
1,2,0,2,0,1,0,100,1,0,0,6,2,2,875554.0352,0,1,0,0,1,0,0,0,-1,0
0,2,0,2,0,2,0,100,2,0,0,6,1,2,524017.0117,3420530,1,0,0,1,0,0,0,-1,0
0,2,0,2,1,2,0,100,2,0,0,6,1,2,0,0,1,0,0,1,0,0,0,-1,0
0,2,0,5,0,4,0,100,2,0,0,5,4,5,525559.7155,1375000,0,0,0,1,1,1,1,0,0
0,2,0,5,0,4,0,100,3,0,0,6,3,1,0,0,1,0,1,1,0,0,0,-1,0
0,2,1,2,0,2,0,100,1,0,0,6,3,2,0,0,0,0,0,2,0,0,0,-1,0
0,1,0,2,1,4,0,80,1,1,0,1,1,1,570541.5404,0,1,1,0,1,1,1,1,0,1
0,1,1,2,0,1,0,100,1,0,0,5,1,6,223352.5808,0,0,0,0,2,0,0,0,-1,0
0,1,0,2,0,1,0,100,1,0,0,1,1,1,254612.8895,0,1,0,0,1,0,0,0,-1,0
0,1,0,1,0,2,0,100,3,0,0,2,3,2,553671.9314,0,0,0,0,1,0,0,0,-1,0
0,2,0,1,0,2,0,100,3,0,1,4,3,5,245307.0068,0,0,1,0,1,0,0,0,-1,0
0,2,0,3,0,3,0,100,1,1,0,2,4,6,368799.0247,0,1,1,0,1,1,1,1,1,1
